author_name,degree,eigenvector,betweenness,closeness,npubs,hindex,hindex5y,i10index,i10index5y,citedby,as_pc_chair,as_pc,as_session_chair,as_panelist,as_keynote_speaker,as_author
"Ma, Xiaoxing",0.0009,0.0,0.0,0.1026,141,17,15,32,23,1053,0,0,0,0,0,1
"Kouwe, Erik Van Der",0.0006,0.0,0.0,0.0866,14,3,3,0,0,25,0,0,0,0,0,1
"Sun, Jiawen",0.0006,0.0,0.0,0.0886,,,,,,,0,0,0,0,0,1
"Tseng, Ethan",0.0019,0.0,0.0,0.0852,,,,,,,0,0,0,0,0,1
"Zhao, Haiyan",0.0009,0.0,0.0,0.0893,80,14,12,17,15,1247,0,0,0,0,0,1
"O'Brien, Kevin",0.0035,0.0,0.0,0.1053,,,,,,,0,0,0,0,0,1
"Blot, Arthur",0.0028,0.0,0.0,0.0643,,,,,,,0,0,0,0,0,1
"Hu, Liting",0.0016,0.0,0.0,0.1062,18,10,10,10,10,555,0,0,0,0,0,1
"Leininger, Matthew L.",0.0028,0.0,0.0,0.1003,,,,,,,,,,,,
"Yildiz, Orcun",0.0006,0.0,0.0,0.0969,8,4,4,0,0,26,0,0,0,0,0,1
"Lee, Jeongkeun",0.0031,0.0,112008.964,0.1413,90,21,19,32,30,1799,0,0,0,0,0,2
"Yarom, Yuval",0.0006,0.0,0.0,0.081,32,17,15,18,16,1092,0,0,0,0,0,2
"Hao, Yuchen",0.0009,0.0,0.0,0.0928,4,3,3,1,1,27,0,0,0,0,0,1
"Lu, Yutong",0.0019,0.017,0.0,0.0993,,,,,,,0,0,0,0,0,1
"Hu, Chunming",0.0016,0.0,9552.0,0.1038,,,,,,,0,0,0,0,0,2
"Xue, Ji",0.0016,0.0,0.0,0.1037,9,3,3,1,1,30,0,0,0,0,0,1
"Li, Wei",0.0019,0.0,28602.0,0.073,,,,,,,0,0,0,0,0,3
"Musuvathi, Madan",0.0025,0.0,128605.8883,0.1172,47,31,27,53,44,4353,0,2,0,0,0,3
"Zhu, Yibo",0.0041,0.0,17516.5677,0.1225,25,10,10,10,10,645,0,0,0,0,0,2
"Millstein, Todd D.",0.0019,0.0,87164.2537,0.1208,,,,,,,,,,,,
"Chen, Yi",0.0016,0.0,0.0,0.0949,2,1,1,1,1,26,0,0,0,0,0,1
"Cohney, Shaanan",0.0022,0.0,0.0,0.0859,7,3,3,1,1,29,0,0,0,0,0,1
"Sopena, Julien",0.0022,0.0,0.0,0.0962,57,9,8,9,7,280,0,0,0,0,0,1
"Wajahat, Muhammad",0.0013,0.0,0.0,0.1015,4,0,0,0,0,0,0,0,0,0,0,2
"Zhang, Yao",0.0025,0.0,12732.0,0.0921,12,5,5,3,3,84,0,0,0,0,0,2
"Wang, Jingcheng",0.0016,0.0,0.0,0.0927,,,,,,,0,0,0,0,0,1
"Eichenberger, Alexandre E.",0.0035,0.0,0.0,0.1053,,,,,,,,,,,,
"Rahmati, Amir",0.0019,0.0,0.0,0.0947,16,6,6,3,3,111,0,0,0,0,0,1
"Ben-Nun, Tal",0.0009,0.0,0.0,0.1047,16,6,6,3,3,190,0,0,0,0,0,1
"Mukkara, Anurag",0.0025,0.0,0.0,0.1209,1,1,1,0,0,4,0,0,0,0,0,1
"Mao, Hongzi",0.0006,0.0,0.0,0.1114,7,4,4,2,2,139,0,0,0,0,0,1
"Shen, Xipeng",0.006,0.0,90976.6589,0.1101,181,25,21,51,38,3608,0,6,2,0,0,7
"Das, Shirshanka",0.0047,0.0,0.0,0.118,,,,,,,0,0,0,0,0,1
"Amit, Nadav",0.0031,0.0,26420.438,0.1209,13,6,6,5,5,302,0,3,1,0,0,3
"Jeon, Myeongjae",0.0016,0.0,0.0,0.1218,16,8,7,7,7,257,0,0,0,0,0,1
"Antão, Samuel",0.0035,0.0,0.0,0.1053,,,,,,,,,,,,
"Gibert, Enric",0.0022,0.0,0.0,0.0768,,,,,,,0,0,0,0,0,1
