author_name,degree,eigenvector,betweenness,closeness, npubs, hindex, hindex5y, i10index, i10index5y, citedby, as_pc_chair, as_pc, as_session_chair, as_panelist, as_keynote_speaker, as_author
"North, Chris",0.0004,0.0,0.0,0.0375,263,46,34,109,83,6954,0,0,0,0,0,1
"Feng, Wu-Chun",0.0027,0.0,0.0041,0.0415,,,,,,,,,,,,
"Xu, Wen",0.0011,0.0,0.0,0.0058,,3,2,2,1,1,0,0,0,0,0,2
"Kashyap, Sanidhya",0.0004,0.0,0.0,0.0056,,,10,5,5,2,0,0,0,0,0,3
"Min, Changwoo",0.0004,0.0,0.0,0.0056,,,58,9,8,8,0,0,0,0,0,3
"Kim, Taesoo",0.0032,0.0,0.0002,0.0072,,,,,,,0,3,2,0,0,10
"Cai, Renqin",0.0003,0.0,0.0,0.0003,,,,,,,0,0,0,0,0,1
"Wang, Chi",0.0003,0.0,0.0,0.0003,54,21,20,32,31,3342,0,0,0,0,0,1
"Wang, Hongning",0.0003,0.0,0.0,0.0003,,6,5,5,5,5,0,2,0,0,0,1
"Hidders, Jan",0.0003,0.0,0.0,0.0003,142,20,12,34,15,1204,0,0,0,0,0,1
"Paredaens, Jan",0.0003,0.0,0.0,0.0003,,,,,,,0,0,0,0,0,1
"Bussche, Jan Van Den",0.0003,0.0,0.0,0.0003,245,31,14,82,28,4138,0,0,1,0,0,1
"Ringer, Talia",0.0004,0.0,0.0,0.0294,3,1,1,1,1,10,0,0,0,0,0,1
"Grossman, Dan",0.0008,0.0,0.0003,0.0317,,171,34,25,61,47,0,1,1,0,0,2
"Schwartz-Narbonne, Daniel",0.0004,0.0,0.0,0.0294,,,,,,,0,0,0,0,0,1
"Tasiran, Serdar",0.0004,0.0,0.0,0.0294,91,21,13,33,20,2497,0,0,0,0,0,1
"Liang, Xin",0.0016,0.0,0.0002,0.0388,,6,3,3,0,0,0,0,0,0,0,2
"Chen, Jieyang",0.0016,0.0,0.0002,0.0388,,3,0,0,0,0,0,0,0,0,0,2
"Tao, Dingwen",0.0019,0.0,0.0009,0.039,,,5,1,1,0,0,0,0,0,0,3
"Li, Sihuan",0.0012,0.0,0.0,0.0378,,,,,,,0,0,0,0,0,2
"Wu, Panruo",0.0016,0.0,0.0002,0.0388,,18,5,5,3,3,0,0,0,0,0,2
"Li, Hongbo",0.0013,0.0,0.0017,0.0381,,3,1,1,0,0,0,0,0,0,0,2
"Ouyang, Kaiming",0.0016,0.0,0.0002,0.0388,,1,0,0,0,0,0,0,0,0,0,2
"Liu, Yuanlai",0.0012,0.0,0.0,0.0378,,,,,,,0,0,0,0,0,1
"Song, Fengguang",0.0019,0.0,0.006,0.0405,,37,11,8,11,8,0,0,0,0,0,2
"Chen, Zizhong",0.002,0.0,0.0038,0.0392,,,,,,143,0,3,0,0,0,4
"Yao, Yuanshun",0.0008,0.0,0.0,0.0349,,,,,,,0,0,0,0,0,2
"Xiao, Zhujun",0.0007,0.0,0.0,0.0349,,,,,,,0,0,0,0,0,1
"Wang, Bolun",0.0007,0.0,0.0,0.0349,9,5,5,4,4,108,0,0,0,0,0,1
"Viswanath, Bimal",0.002,0.0,0.0007,0.0383,,,,18,13,13,0,0,0,0,0,4
"Zheng, Haitao",0.0008,0.0,0.0,0.0349,,,,,,,,,,,,
"Zhao, Ben Y.",0.0008,0.0,0.0,0.0349,,212,58,45,117,104,0,1,0,0,0,2
"Fumero, Juan José",0.0004,0.0,0.0,0.0008,,,,,,,,,,,,
"Steuwer, Michel",0.0004,0.0,0.0,0.0008,33,8,8,6,6,286,0,0,0,0,0,1
"Stadler, Lukas",0.0015,0.0,0.0,0.0015,,23,11,10,12,12,0,0,0,0,0,2
"Dubach, Christophe",0.0004,0.0,0.0,0.0008,42,10,10,10,10,565,0,1,0,0,0,1
"Su, Yi",0.0004,0.0,0.0,0.0337,,,,,,,0,0,0,0,0,1
"Feng, Dan",0.0013,0.0,0.0007,0.0337,,,400,32,27,83,0,1,0,0,0,3
"Hua, Yu",0.0012,0.0,0.0011,0.0369,,,,,,,0,4,2,0,0,3
"Shi, Zhan",0.0004,0.0,0.0,0.0337,,,,,,,0,0,0,0,0,1
"Subasi, Omer",0.0013,0.0,0.005,0.0414,,,,12,5,5,0,0,0,0,0,4
"Yalcin, Gulay",0.0005,0.0,0.0,0.0387,30,8,8,7,6,279,0,0,0,0,0,1
"Zyulkyarov, Ferad",0.0012,0.0,0.0005,0.0387,,20,6,6,5,5,0,0,0,0,0,2
"Unsal, Osman S.",0.0005,0.0,0.0,0.0387,,,,,,,,,,,,
"Labarta, Jesús",0.0016,0.0,0.0048,0.0401,,,,,,,,,,,,
"Du, Min",0.0004,0.0,0.0,0.0004,,,,,,,0,0,0,0,0,1
"Li, Feifei",0.0004,0.0,0.0,0.0004,97,29,28,41,39,3927,0,1,0,0,0,1
"Zheng, Guineng",0.0004,0.0,0.0,0.0004,,,,,,,0,0,0,0,0,1
"Srikumar, Vivek",0.0004,0.0,0.0,0.0004,46,14,13,18,17,651,0,0,0,0,0,1
"Su, Maomeng",0.0005,0.0,0.0,0.0434,,,,,,,0,0,0,0,0,1
"Zhang, Mingxing",0.0012,0.0,0.0001,0.0488,,,10,3,3,0,0,0,0,0,0,3
"Chen, Kang",0.0012,0.0,0.0001,0.0488,,,,,,,0,0,0,0,0,3
"Guo, Zhenyu",0.0005,0.0,0.0,0.0434,12,4,4,3,3,71,0,0,0,0,0,1
"Wu, Yongwei",0.0012,0.0,0.0001,0.0488,,,187,19,15,44,0,0,0,0,0,3
"Wang, Xinyu",0.0003,0.0,0.0,0.0269,,,,,,,0,0,0,0,0,1
"Dillig, Isil",0.0016,0.0,0.0006,0.0288,,,,,46,16,0,0,0,0,0,5
"Singh, Rishabh",0.0003,0.0,0.0,0.0269,48,12,12,15,14,857,0,1,0,0,0,1
"Larisch, James",0.0007,0.0,0.0,0.0384,1,1,1,0,0,2,0,0,0,0,0,1
"Choffnes, David R.",0.0019,0.0,0.0044,0.0402,,,,,,,,,,,,
"Levin, Dave",0.0009,0.0,0.0,0.0384,,61,16,13,20,19,0,0,0,0,0,2
"Maggs, Bruce M.",0.0016,0.0,0.0023,0.0408,,,,,,,,,,,,
"Mislove, Alan",0.0013,0.0,0.0009,0.0385,,,,,,86,0,3,1,0,0,4
"Wilson, Christo",0.0028,0.0,0.0015,0.0395,,,,55,22,22,0,0,0,0,0,4
"Ruffing, Tim",0.0003,0.0,0.0,0.0309,11,5,5,3,3,84,0,0,0,0,0,1
"Moreno-Sanchez, Pedro",0.0007,0.0,0.0,0.031,,,13,6,6,6,0,0,0,0,0,3
"Kate, Aniket",0.0015,0.0,0.0032,0.0336,,,,43,16,16,0,1,1,0,0,4
"Dimopoulos, Stratos",0.0003,0.0,0.0,0.0004,11,2,2,0,0,11,0,0,0,0,0,1
"Krintz, Chandra",0.0003,0.0,0.0,0.0004,,,,,,,0,1,0,1,0,1
"Wolski, Richard",0.0007,0.0,0.0,0.0007,,,,,,,,,,,,
"Yehuda, Gal",0.0003,0.0,0.0,0.0003,,,,,,,0,0,0,0,0,1
"Keren, Daniel",0.0003,0.0,0.0,0.0003,,,,,,,0,0,0,0,0,1
"Akaria, Islam",0.0003,0.0,0.0,0.0003,,,,,,,0,0,0,0,0,1
"Sabne, Amit",0.0012,0.0,0.0004,0.0354,,20,5,5,2,2,0,0,0,0,0,2
"Wang, Xiao",0.0003,0.0,0.0,0.0286,,15,8,8,7,7,0,0,0,0,0,2
"Kisner, Sherman J.",0.0007,0.0,0.0,0.0354,,,,,,,,,,,,
"Bouman, Charles A.",0.0007,0.0,0.0,0.0354,,,,,,,,,,,,
"Raghunathan, Anand",0.002,0.0,0.0009,0.0388,,430,63,35,221,132,0,0,0,0,0,2
"Midkiff, Samuel P.",0.0007,0.0,0.0,0.0354,,,,,,,,,,,,
"Gunawardhana, Chathuri",0.0003,0.0,0.0,0.0003,,,,,,,0,0,0,0,0,1
"Bravo, Manuel",0.0004,0.0,0.0,0.0004,,,,,,,0,0,0,0,0,2
"Rodrigues, Luís E. T.",0.0004,0.0,0.0,0.0004,,,,,,,,,,,,
"Yang, Liu",0.0004,0.0,0.0,0.0353,16,8,8,7,7,187,0,0,0,0,0,1
"Dumais, Susan T.",0.0009,0.0,0.0008,0.0387,,393,91,65,206,172,0,0,0,0,0,2
"Bennett, Paul N.",0.0004,0.0,0.0,0.0353,,122,29,24,46,39,0,2,0,0,0,1
"Awadallah, Ahmed Hassan",0.0009,0.0,0.0005,0.0353,108,20,19,38,32,1524,0,1,0,0,0,1
"Ilbeyi, Berkin",0.0011,0.0,0.0,0.0014,,7,2,2,1,1,0,0,0,0,0,2
"Bolz-Tereick, Carl Friedrich",0.0012,0.0,0.0,0.0014,,,42,12,11,15,0,0,0,0,0,3
"Batten, Christopher",0.0011,0.0,0.0,0.0014,,,32,16,15,22,0,2,0,0,0,2
"Gomes, Victor B. F.",0.0004,0.0,0.0,0.0004,,,,,,,,,,,,
"Kleppmann, Martin",0.0004,0.0,0.0,0.0004,15,4,4,1,1,55,0,0,0,0,0,1
"Mulligan, Dominic P.",0.0004,0.0,0.0,0.0004,,,,,,,,,,,,
"Beresford, Alastair R.",0.0004,0.0,0.0,0.0004,,,,,,,,,,,,
"Hartung, Gunnar",0.0004,0.0,0.0,0.0005,,,,,,,0,0,0,0,0,1
"Hoffmann, Max",0.0008,0.0,0.0,0.0008,,,,,,,0,0,0,0,0,2
"Nagel, Matthias",0.0004,0.0,0.0,0.0005,,,,,,,0,0,0,0,0,1
"Rupp, Andy",0.0008,0.0,0.0,0.0008,,50,14,9,15,9,0,0,0,0,0,2
"Scott, Ryan G.",0.0007,0.0,0.0012,0.0415,,,,,,,0,0,0,0,0,2
"Leija, Omar S. Navarro",0.0004,0.0,0.0,0.0376,,,,,,,,,,,,
"Devietti, Joseph",0.0015,0.0,0.0023,0.0378,,,,,,,0,1,1,0,0,4
"Newton, Ryan",0.0011,0.0,0.0015,0.0415,,,,,,,,,,,,
"Ju, Xiaoen",0.0003,0.0,0.0,0.0356,12,5,4,3,3,218,0,0,0,0,0,1
"Jamjoom, Hani",0.0003,0.0,0.0,0.0356,,,,,,,0,0,0,0,0,1
"Shin, Kang G.",0.0016,0.0,0.0017,0.0392,,,,,1184,97,0,0,0,0,0,5
"Zuo, Chaoshun",0.0003,0.0,0.0,0.0008,,,,,,,0,0,0,0,0,1
"Zhao, Qingchuan",0.0003,0.0,0.0,0.0008,,,,,,,0,0,0,0,0,1
"Lin, Zhiqiang",0.0012,0.0,0.0,0.0012,,,90,21,20,36,0,0,0,0,0,3
"Jin, Meng",0.0007,0.0,0.0,0.0015,,,,,,,0,0,0,0,0,1
"He, Yuan",0.0004,0.0,0.0,0.035,98,22,22,37,36,2286,0,0,0,0,0,1
"Meng, Xin",0.0007,0.0,0.0,0.0015,,,,,,,0,0,0,0,0,1
"Zheng, Yilun",0.0007,0.0,0.0,0.0015,,,,,,,0,0,0,0,0,1
"Fang, Dingyi",0.0019,0.0,0.0,0.0022,,,,,,,0,0,0,0,0,3
"Chen, Xiaojiang",0.0019,0.0,0.0,0.0022,,,135,9,8,8,0,0,0,0,0,3
"Aga, Shaizeen",0.0001,0.0,0.0,0.0392,,6,1,1,0,0,0,0,0,0,0,2
"Dall, Christoffer",0.0005,0.0,0.0,0.0006,,,,,,,0,0,0,0,0,2
"Li, Shih-Wei",0.0005,0.0,0.0,0.0006,,,,,,,0,0,0,0,0,2
"Nieh, Jason",0.0008,0.0,0.0,0.0008,,,,165,39,25,0,2,0,0,0,3
"Nishtala, Rajiv",0.0004,0.0,0.0,0.0009,6,2,2,0,0,8,0,0,0,0,0,1
"Carpenter, Paul M.",0.0009,0.0,0.0,0.0013,,,,,,,,,,,,
"Petrucci, Vinicius",0.0004,0.0,0.0,0.0009,36,12,11,13,13,428,0,0,0,0,0,1
"Martorell, Xavier",0.0004,0.0,0.0,0.0009,80,11,9,13,9,430,0,0,0,0,0,1
"Cao, Thang",0.0013,0.0,0.0001,0.0384,,,,,,,0,0,0,0,0,2
"Huang, Wei",0.0007,0.0,0.0,0.0008,,77,26,19,36,31,0,1,0,0,0,2
"Kondo, Masaaki",0.0013,0.0,0.0001,0.0384,,,172,15,12,32,0,2,0,0,0,2
"Peng, Ivy Bo",0.0005,0.0,0.0,0.0384,,,,,,,,,,,,
"Gioiosa, Roberto",0.0023,0.0,0.0019,0.0385,,,69,17,15,27,0,1,0,0,0,3
"Kestor, Gokcen",0.0009,0.0,0.0032,0.0423,,,28,6,6,6,0,1,0,0,0,3
"Laure, Erwin",0.0005,0.0,0.0,0.0384,,172,20,12,32,15,0,2,0,0,0,0
"Markidis, Stefano",0.0005,0.0,0.0,0.0384,277,19,19,43,41,1309,0,0,0,0,0,1
"Alviano, Mario",0.0003,0.0,0.0,0.0003,57,14,13,18,17,621,0,0,0,0,0,1
"Morak, Michael",0.0003,0.0,0.0,0.0003,,,,,,,0,0,0,0,0,1
"Pieris, Andreas",0.0003,0.0,0.0,0.0003,70,17,14,25,23,1026,0,1,1,0,0,1
"Ferraiuolo, Andrew",0.0009,0.0,0.0003,0.0295,,11,4,4,3,3,0,0,0,0,0,2
