author_name,degree,eigenvector,betweenness,closeness
"Liang, Xin",0.0016,0.0,0.0002,0.0388
"Chen, Jieyang",0.0016,0.0,0.0002,0.0388
"Tao, Dingwen",0.0019,0.0,0.0009,0.039
"Li, Sihuan",0.0012,0.0,0.0,0.0378
"Wu, Panruo",0.0016,0.0,0.0002,0.0388
"Li, Hongbo",0.0013,0.0,0.0017,0.0381
"Ouyang, Kaiming",0.0016,0.0,0.0002,0.0388
"Liu, Yuanlai",0.0012,0.0,0.0,0.0378
"Song, Fengguang",0.0019,0.0,0.006,0.0405
"Chen, Zizhong",0.002,0.0,0.0038,0.0392
"Yao, Yuanshun",0.0008,0.0,0.0,0.0349
"Xiao, Zhujun",0.0007,0.0,0.0,0.0349
"Wang, Bolun",0.0007,0.0,0.0,0.0349
"Viswanath, Bimal",0.002,0.0,0.0007,0.0383
"Zheng, Haitao",0.0008,0.0,0.0,0.0349
"Zhao, Ben Y.",0.0008,0.0,0.0,0.0349
"Fumero, Juan José",0.0004,0.0,0.0,0.0008
"Steuwer, Michel",0.0004,0.0,0.0,0.0008
"Stadler, Lukas",0.0015,0.0,0.0,0.0015
"Dubach, Christophe",0.0004,0.0,0.0,0.0008
"Su, Yi",0.0004,0.0,0.0,0.0337
"Feng, Dan",0.0013,0.0,0.0007,0.0337
"Hua, Yu",0.0012,0.0,0.0011,0.0369
"Shi, Zhan",0.0004,0.0,0.0,0.0337
"Subasi, Omer",0.0013,0.0,0.005,0.0414
"Yalcin, Gulay",0.0005,0.0,0.0,0.0387
"Zyulkyarov, Ferad",0.0012,0.0,0.0005,0.0387
"Unsal, Osman S.",0.0005,0.0,0.0,0.0387
"Labarta, Jesús",0.0016,0.0,0.0048,0.0401
"Du, Min",0.0004,0.0,0.0,0.0004
"Li, Feifei",0.0004,0.0,0.0,0.0004
"Zheng, Guineng",0.0004,0.0,0.0,0.0004
"Srikumar, Vivek",0.0004,0.0,0.0,0.0004
"Su, Maomeng",0.0005,0.0,0.0,0.0434
"Zhang, Mingxing",0.0012,0.0,0.0001,0.0488
"Chen, Kang",0.0012,0.0,0.0001,0.0488
"Guo, Zhenyu",0.0005,0.0,0.0,0.0434
"Wu, Yongwei",0.0012,0.0,0.0001,0.0488
"Wang, Xinyu",0.0003,0.0,0.0,0.0269
"Dillig, Isil",0.0016,0.0,0.0006,0.0288
"Singh, Rishabh",0.0003,0.0,0.0,0.0269
"Larisch, James",0.0007,0.0,0.0,0.0384
"Choffnes, David R.",0.0019,0.0,0.0044,0.0402
"Levin, Dave",0.0009,0.0,0.0,0.0384
"Maggs, Bruce M.",0.0016,0.0,0.0023,0.0408
"Mislove, Alan",0.0013,0.0,0.0009,0.0385
"Wilson, Christo",0.0028,0.0,0.0015,0.0395
"Ruffing, Tim",0.0003,0.0,0.0,0.0309
"Moreno-Sanchez, Pedro",0.0007,0.0,0.0,0.031
"Kate, Aniket",0.0015,0.0,0.0032,0.0336
"Dimopoulos, Stratos",0.0003,0.0,0.0,0.0004
"Krintz, Chandra",0.0003,0.0,0.0,0.0004
"Wolski, Richard",0.0007,0.0,0.0,0.0007
"Yehuda, Gal",0.0003,0.0,0.0,0.0003
"Keren, Daniel",0.0003,0.0,0.0,0.0003
"Akaria, Islam",0.0003,0.0,0.0,0.0003
"Sabne, Amit",0.0012,0.0,0.0004,0.0354
"Wang, Xiao",0.0003,0.0,0.0,0.0286
"Kisner, Sherman J.",0.0007,0.0,0.0,0.0354
"Bouman, Charles A.",0.0007,0.0,0.0,0.0354
"Raghunathan, Anand",0.002,0.0,0.0009,0.0388
"Midkiff, Samuel P.",0.0007,0.0,0.0,0.0354
"Gunawardhana, Chathuri",0.0003,0.0,0.0,0.0003
"Bravo, Manuel",0.0004,0.0,0.0,0.0004
"Rodrigues, Luís E. T.",0.0004,0.0,0.0,0.0004
"Yang, Liu",0.0004,0.0,0.0,0.0353
"Dumais, Susan T.",0.0009,0.0,0.0008,0.0387
"Bennett, Paul N.",0.0004,0.0,0.0,0.0353
"Awadallah, Ahmed Hassan",0.0009,0.0,0.0005,0.0353
"Ilbeyi, Berkin",0.0011,0.0,0.0,0.0014
"Bolz-Tereick, Carl Friedrich",0.0012,0.0,0.0,0.0014
"Batten, Christopher",0.0011,0.0,0.0,0.0014
"Gomes, Victor B. F.",0.0004,0.0,0.0,0.0004
"Kleppmann, Martin",0.0004,0.0,0.0,0.0004
"Mulligan, Dominic P.",0.0004,0.0,0.0,0.0004
"Beresford, Alastair R.",0.0004,0.0,0.0,0.0004
"Hartung, Gunnar",0.0004,0.0,0.0,0.0005
"Hoffmann, Max",0.0008,0.0,0.0,0.0008
"Nagel, Matthias",0.0004,0.0,0.0,0.0005
"Rupp, Andy",0.0008,0.0,0.0,0.0008
"Scott, Ryan G.",0.0007,0.0,0.0012,0.0415
"Leija, Omar S. Navarro",0.0004,0.0,0.0,0.0376
"Devietti, Joseph",0.0015,0.0,0.0023,0.0378
"Newton, Ryan",0.0011,0.0,0.0015,0.0415
"Ju, Xiaoen",0.0003,0.0,0.0,0.0356
"Jamjoom, Hani",0.0003,0.0,0.0,0.0356
"Shin, Kang G.",0.0016,0.0,0.0017,0.0392
"Zuo, Chaoshun",0.0003,0.0,0.0,0.0008
"Zhao, Qingchuan",0.0003,0.0,0.0,0.0008
"Lin, Zhiqiang",0.0012,0.0,0.0,0.0012
"Jin, Meng",0.0007,0.0,0.0,0.0015
"He, Yuan",0.0004,0.0,0.0,0.035
"Meng, Xin",0.0007,0.0,0.0,0.0015
"Zheng, Yilun",0.0007,0.0,0.0,0.0015
"Fang, Dingyi",0.0019,0.0,0.0,0.0022
"Chen, Xiaojiang",0.0019,0.0,0.0,0.0022
"Aga, Shaizeen",0.0001,0.0,0.0,0.0392
"Dall, Christoffer",0.0005,0.0,0.0,0.0006
"Li, Shih-Wei",0.0005,0.0,0.0,0.0006
"Nieh, Jason",0.0008,0.0,0.0,0.0008
"Nishtala, Rajiv",0.0004,0.0,0.0,0.0009
"Carpenter, Paul M.",0.0009,0.0,0.0,0.0013
"Petrucci, Vinicius",0.0004,0.0,0.0,0.0009
"Martorell, Xavier",0.0004,0.0,0.0,0.0009
"Cao, Thang",0.0013,0.0,0.0001,0.0384
"Huang, Wei",0.0007,0.0,0.0,0.0008
"Kondo, Masaaki",0.0013,0.0,0.0001,0.0384
"Peng, Ivy Bo",0.0005,0.0,0.0,0.0384
