author_name,degree,eigenvector,betweenness,closeness,npubs,hindex,hindex5y,i10index,i10index5y,citedby,as_pc_chair,as_pc,as_session_chair,as_panelist,as_keynote_speaker,as_author
"Zheng, Yudian",0.0026,0.0,0.0,0.101,12,4,4,4,4,92,0,0,0,0,0,1
"Smith, Burton",0.0011,0.0,0.0,0.1163,,,,,,,0,0,0,0,0,1
"Orr, Marc S.",0.0014,0.0,0.0,0.1156,,,,,,,,,,,,
"Eils, Roland",0.0017,0.0,0.0,0.0584,578,73,52,221,178,22187,0,0,0,0,0,1
"Jannen, William",0.0028,0.0,0.0,0.1017,12,4,4,2,2,65,0,0,0,0,0,1
"Zhai, Ennan",0.0028,0.0,109456.0382,0.1192,28,10,9,10,9,224,0,1,0,0,0,3
"Cao, Da",0.0014,0.0,0.0,0.0807,,,,,,,0,0,0,0,0,1
"Liu, Yutao",0.0014,0.0,0.0,0.1068,9,6,6,4,4,180,0,0,0,0,0,1
"Zhou, Kaiqi",0.0017,0.0,0.0,0.1092,,,,,,,0,0,0,0,0,1
"Parashar, Angshuman",0.0023,0.0,0.0,0.1151,,,,,,,0,0,0,0,0,1
"Shahidi, Narges",0.0009,0.0,0.0,0.1098,9,2,2,0,0,12,0,0,0,0,0,1
"Lugones, Diego",0.0014,0.0,0.6667,0.095,36,6,5,5,2,126,0,0,0,0,0,2
"Tang, Nan",0.0026,0.0,0.0,0.0914,58,18,16,24,19,1146,0,1,0,0,0,2
"Stronati, Marco",0.0009,0.0,0.0,0.072,,,,,,,0,0,0,0,0,1
"Vega, Luis",0.0009,0.0,0.0,0.1128,,,,,,,0,0,0,0,0,1
"Stephenson, Mark",0.0011,0.0,0.0,0.1149,35,10,8,10,7,875,0,0,0,0,0,1
"Jha, Somesh",0.0014,0.0,0.0,0.0938,545,67,47,212,158,24030,0,0,0,0,0,1
"Shin, Seunghee",0.0009,0.0,0.0,0.0861,,,,,,,0,0,0,0,0,2
"Cho, Hyunyoon",0.0023,0.0,7087.9767,0.1197,3,2,2,2,2,253,0,0,0,0,0,2
"Pilla, Laércio Lima",0.0037,0.0,4578.331,0.0979,,,,,,,,,,,,
"Potluri, Sreeram",0.0028,0.0,46942.4899,0.1107,47,16,16,19,18,681,0,0,0,0,0,3
"Shafaei, Alireza",0.0011,0.0,0.0,0.1236,31,7,7,4,4,110,0,0,0,0,0,1
"Xiong, Haoyi",0.0011,0.0,0.0,0.087,44,15,15,17,17,581,0,0,0,0,0,1
"Wang, Jonathan",0.0011,0.0,0.0,0.0934,,,,,,,0,0,0,0,0,1
"Mccauley, Samuel",0.0009,0.0,0.0,0.0761,24,5,5,2,2,46,0,1,0,0,0,1
"Ni, Jingchao",0.0009,0.0,0.0,0.0801,9,3,3,2,2,38,0,0,0,0,0,1
"Burihabwa, Dorian",0.002,0.0,0.0,0.0933,6,2,2,0,0,6,0,0,0,0,0,1
"Wu, Xingbo",0.0028,0.0,1026.6,0.0999,5,2,2,1,1,37,0,0,0,0,0,3
"Liu, Qing",0.006,0.0,6393.7904,0.1065,,,,,,,,,,,,
"Ray, Soumya",0.0003,0.0,0.0,0.0997,64,16,13,19,17,1665,0,0,0,0,0,1
"Shen, Fumin",0.0017,0.0,0.0,0.0961,87,13,13,17,17,762,0,0,0,0,0,1
"Srisa-An, Witawas",0.0014,0.0,0.0,0.0941,81,14,10,28,11,588,0,0,0,0,0,1
"Swanson, Steven",0.0097,0.0,974539.8906,0.1453,134,32,27,61,55,4720,0,1,0,0,0,6
"Zhang, Da",0.0011,0.0012,0.0,0.1007,4,2,2,1,1,46,0,0,0,0,0,1
"Bykov, Sergey",0.0028,0.0,0.0,0.0914,,,,,,,0,0,0,0,0,1
"Sun, Jimeng",0.0017,0.0,0.0,0.0798,201,43,39,98,87,7890,0,1,0,0,0,2
"Li, Xi",0.0034,0.0,34990.0,0.1092,36,11,11,14,13,342,0,0,0,0,0,1
"Silva, Tamires Brito Da",0.002,0.0,0.0,0.1271,,,,,,,0,0,0,0,0,1
"Balmau, Oana",0.0026,0.0,2926.5864,0.1086,5,2,2,0,0,7,0,0,0,0,0,2
"Terry, Douglas B.",0.0028,0.0,186336.0158,0.1224,128,40,26,69,45,15337,0,1,0,0,0,2
"Miers, Ian",0.0014,0.0,12317.5241,0.0753,16,5,5,4,4,573,0,0,0,0,0,3
"Roy, Arjun",0.0023,0.0,2334.7932,0.115,6,3,3,3,3,203,0,0,0,0,0,2
"Choe, Yung Ryn",0.0026,0.0,0.0,0.0553,,,,,,,0,0,0,0,0,1
"Rossberg, Andreas",0.0023,0.0,0.0,0.0711,,,,,,,0,0,0,0,0,1
"Yin, Haikuo",0.002,0.0,0.0,0.1087,,,,,,,0,0,0,0,0,1
"Paulo, João",0.0028,0.0,5257.5,0.0933,,,,,,,,,,,,
"Liang, Bin",0.0017,0.0,0.0,0.1009,,,,,,,0,0,0,0,0,1
"Verroios, Vasilis",0.0006,0.0,0.0,0.1133,,,,,,,0,0,0,0,0,1
"Yaglikçi, Abdullah Giray",0.0026,0.0,0.0,0.126,,,,,,,,,,,,
"Thomas, Matthew",0.0014,0.0,0.0,0.0916,27,5,5,2,2,110,0,0,0,0,0,1
"Keller, Eric",0.0009,0.0,0.0,0.0841,98,21,17,34,21,2798,0,0,0,0,0,1
"Wang, Tao",0.0037,0.0,34990.0,0.0982,,,,,,,0,0,0,0,0,2
"Kondo, Masaaki",0.0028,0.0,3506.0,0.0921,172,15,12,32,14,998,0,2,0,0,0,2
"Jin, Yue",0.0011,0.0,0.0,0.095,,,,,,,0,0,0,0,0,1
"Cristofaro, Emiliano De",0.0031,0.0,22.0,0.0524,84,23,22,38,36,1683,0,2,0,0,0,2
"Bouman, Charles A.",0.0014,0.0,0.0,0.0933,,,,,,,,,,,,
"Celik, Berk",0.0017,0.0,0.0,0.0846,13,5,5,4,4,163,0,0,0,0,0,1
"Shim, Aaron",0.0011,0.0,0.0,0.1065,,,,,,,0,0,0,0,0,1
"Mehrotra, Rishabh",0.0014,0.0,3508.0,0.0827,24,6,6,3,3,223,0,1,0,0,0,2
"Amaris, Marcos",0.0009,0.0,0.0,0.078,,,,,,,,,,,,
