author_id,author_name,author_email
3245752,"('Li, Feifei', '@cs.utah.edu')"
2615075,"('Zheng, Guineng', '')"
3052879,"('Srikumar, Vivek', '@cs.utah.edu')"
3339930,"('Su, Maomeng', '')"
4408986,"('Zhang, Mingxing', '@mails.tsinghua.edu.cn')"
1680073,"('Chen, Kang', '')"
1850900,"('Guo, Zhenyu', '@ece.ubc.ca')"
1725574,"('Wu, Yongwei', '@tsinghua.edu.cn')"
2142614,"('Wang, Xinyu', '')"
1714075,"('Dillig, Isil', '@cs.utexas.edu')"
37493633,"('Singh, Rishabh', '@microsoft.com')"
4762647,"('Larisch, James', '@g.harvard.edu')"
36147319,"('Levin, Dave', '@cs.umd.edu')"
1729928,"('Mislove, Alan', '@ccs.neu.edu')"
35497150,"('Wilson, Christo', '@ccs.neu.edu')"
2784940,"('Ruffing, Tim', '@mmci.uni-saarland.de')"
2970940,"('Moreno-Sanchez, Pedro', '@purdue.edu')"
1828965,"('Kate, Aniket', '@purdue.edu')"
3284944,"('Dimopoulos, Stratos', '@cs.ucsb.edu')"
1713536,"('Krintz, Chandra', '')"
3393459,"('Yehuda, Gal', '')"
33438590,"('Keren, Daniel', '')"
2379080,"('Akaria, Islam', '')"
1736081,"('Sabne, Amit', '@purdue.edu')"
33727877,"('Wang, Xiao', '@cs.umd.edu')"
1682337,"('Raghunathan, Anand', '@purdue.edu')"
9545854,"('Gunawardhana, Chathuri', '')"
2248998,"('Bravo, Manuel', '')"
1745614,"('Yang, Liu', '@cs.umass.edu')"
1728602,"('Dumais, Susan T.', '@microsoft.com')"
2142374,"('Bennett, Paul N.', '@microsoft.com')"
1977489,"('Awadallah, Ahmed Hassan', '@microsoft.com')"
2906275,"('Ilbeyi, Berkin', '@cornell.edu')"
27019192,"('Bolz-Tereick, Carl Friedrich', '@kcl.ac.uk')"
3206189,"('Batten, Christopher', '@cornell.edu')"
3272157,"('Kleppmann, Martin', '@cl.cam.ac.uk')"
32434924,"('Hartung, Gunnar', '')"
32299356,"('Hoffmann, Max', '')"
40330664,"('Nagel, Matthias', '')"
35135100,"('Rupp, Andy', '@kit.edu')"
17853037,"('Scott, Ryan G.', '')"
1739688,"('Devietti, Joseph', '')"
2871106,"('Ju, Xiaoen', '@umich.edu')"
2704919,"('Jamjoom, Hani', '')"
1730051,"('Shin, Kang G.', '@umich.edu')"
28130536,"('Bättig, Martin', '')"
1735078,"('Gross, Thomas R.', '@tomgross.net')"
3029699,"('Zuo, Chaoshun', '')"
40097032,"('Zhao, Qingchuan', '')"
34472423,"('Lin, Zhiqiang', '@utdallas.edu')"
1709007,"('Jin, Meng', '')"
1683855,"('He, Yuan', '@greenorbs.com')"
1747903,"('Meng, Xin', '')"
4050884,"('Zheng, Yilun', '')"
2068791,"('Fang, Dingyi', '')"
2466164,"('Chen, Xiaojiang', '@nwu.edu.cn')"
1898809,"('Aga, Shaizeen', '@umich.edu')"
1933752,"('Dall, Christoffer', '')"
2175344,"('Li, Shih-Wei', '')"
1700208,"('Nieh, Jason', '@cs.columbia.edu')"
2388951,"('Nishtala, Rajiv', '@bsc.es')"
1771770,"('Petrucci, Vinicius', '@ufba.br')"
1767107,"('Martorell, Xavier', '@upc.edu')"
12898292,"('Cao, Thang', '')"
1730584,"('Huang, Wei', '@amd.com')"
40498718,"('He, Yuan', '@greenorbs.com')"
1683736,"('Kondo, Masaaki', '@hal.ipc.iu-tokyo.ac.jp')"
2896559,"('Selfa, Vicent', '')"
1813689,"('Sahuquillo, Julio', '@disca.upv.es')"
1717133,"('Eeckhout, Lieven', '@ugent.be')"
5482726,"('Petit, Salvador', '@disca.upv.es')"
1689181,"('Li, Yong', '')"
2674237,"('Schäge, Sven', '@rub.de')"
1695375,"('Gioiosa, Roberto', '@pnnl.gov')"
1746771,"('Kestor, Gokcen', '@ornl.gov')"
1758463,"('Laure, Erwin', '@pdc.kth.se')"
2279799,"('Markidis, Stefano', '@pdc.kth.se')"
1775574,"('Alviano, Mario', '@mat.unical.it')"
1786782,"('Morak, Michael', '')"
1771740,"('Pieris, Andreas', '@inf.ed.ac.uk')"
2661057,"('Ferraiuolo, Andrew', '@cornell.edu')"
1919355,"('Baumann, Andrew', '@microsoft.com')"
3095589,"('Hawblitzel, Chris', '')"
2291514,"('Parno, Bryan', '@cmu.edu')"
2874809,"('Slota, George M.', '@rpi.edu')"
1750699,"('Rajamanickam, Sivasankaran', '@sandia.gov')"
2421239,"('Madduri, Kamesh', '@cse.psu.edu')"
39131579,"('Dong, Bin', '@lbl.gov')"
1773743,"('Wu, Kesheng', '@lbl.gov')"
1685638,"('Liu, Jialin', '@lbl.gov')"
3083209,"('Zhao, Weijie', '@ucmerced.edu')"
2289824,"('Rusu, Florin', '@ucmerced.edu')"
26388047,"('Barreiros, Willian', '')"
2711977,"('Teodoro, George', '@unb.br')"
1711386,"('Kong, Jun', '@emory.edu')"
1771683,"('Melo, Alba Cristina Magalhaes Alves De', '@cic.unb.br')"
1828907,"('Sun, He', '@ed.ac.uk')"
2838505,"('Zanetti, Luca', '@bristol.ac.uk')"
35067898,"('Assadi, Sepehr', '@seas.upenn.edu')"
1708510,"('Gómez-Luna, Juan', '@uco.es')"
3077499,"('Hajj, Izzat El', '@illinois.edu')"
1709430,"('Chang, Li-Wen', '@illinois.edu')"
21242411,"('Garcia-Flores, Victor', '@ac.upc.edu')"
2192182,"('Gonzalo, Simon Garcia De', '@illinois.edu')"
2550847,"('Jablin, Thomas B.', '@illinois.edu')"
24636606,"('Peña, Antonio J.', '@bsc.es')"
3112463,"('You, Yang', '@cs.berkeley.edu')"
1700326,"('Demmel, James', '')"
39531773,"('Cao, Yi', '')"
