name, gs_email, as_pc_chair, as_pc, as_session_chair, as_panelist, as_keynote_speaker, as_author, pc_chairs, pcs, session_chairs, panels, keynotes, papers, gender, country, sector, npubs, hindex, hindex5y, i10index, i10index5y, citedby
"Agrawal, Gaurav", @google.com, 0, 0, 0, 0, 0, 1, , , , , , ISCA_17_001, , , COM, 11, 3, 3, 1, 1, 131
"Agrawal, Kunal", @wustl.edu, 0, 0, 0, 0, 0, 3, , , , , , "ICPP_17_008, PPoPP_17_017, PPoPP_17_023", F, US, EDU, 106, 20, 17, 31, 28, 1276
"Agrawal, Nitin", @cs.wisc.edu, 0, 1, 1, 0, 0, 2, , FAST, FAST, , , "Middleware_17_014, SOSP_17_039", M, US, EDU, 22, 12, 11, 12, 11, 2162
"Agrawal, Rakesh", @microsoft.com, 0, 1, 0, 0, 0, 0, , CIDR, , , , , M, , COM, 472, 97, 55, 237, 157, 104057
"Agrawal, Sandeep R.", @oracle.com, 0, 1, 0, 0, 0, 1, , IISWC, , , , MICRO_17_019, M, US, COM, 7, 2, 2, 1, 1, 25
"Agrawal, Shashank", @visa.com, 0, 0, 0, 0, 0, 1, , , , , , CCS_17_042, , , COM, 31, 9, 9, 7, 7, 238
"Agrawal, Shweta", @iitm.ac.in, 0, 0, 0, 0, 0, 1, , , , , , CCS_17_142, F, IN, EDU, 37, 17, 16, 18, 17, 1601
"Aguiar, Leandro P. De", , 0, 0, 0, 0, 0, 1, , , , , , SIGMETRICS_17_008, , , , , , , , , 
"Aguilera, Marcos K.", @vmware.com, 1, 1, 2, 0, 0, 0, HotStorage, SOSP, "HotStorage, SOCC", , , , M, , COM, 128, 37, 26, 59, 47, 6257
"Agullo, Emmanuel", , 0, 1, 0, 0, 0, 0, , SC, , , , , M, , , , , , , , 
"Agung, Mulya", , 0, 0, 0, 0, 0, 1, , , , , , HiPC_17_014, M, , , , , , , , 
"Ahalt, Stan", , 0, 1, 0, 0, 0, 0, , SC, , , , , M, , , , , , , , 
"Ahamad, Mustaque", @cc.gatech.edu, 0, 0, 0, 0, 0, 1, , , , , , NDSS_17_058, , US, EDU, 206, 35, 18, 98, 30, 5874
"Ahmad, Irfan", , 0, 1, 2, 0, 0, 1, , FAST, "HotCloud, FAST", , , ATC_17_037, M, , , , , , , , 
"Ahmad, Ishfaq", @cse.uta.edu, 0, 0, 1, 0, 0, 1, , , IGSC, , , IGSC_17_018, M, US, EDU, 793, 49, 32, 168, 89, 11670
"Ahmad, Maaz Bin Safeer", , 0, 0, 0, 0, 0, 1, , , , , , PLDI_17_024, M, , , , , , , , 
"Ahmad, Masab", @uconn.edu, 0, 0, 0, 0, 0, 1, , , , , , IPDPS_17_026, , US, EDU, 17, 4, 4, 2, 2, 49
"Ahmad, Raza", , 0, 0, 0, 0, 0, 1, , , , , , ICDM_17_068, M, , , , , , , , 
"Ahmad, Yanif", @jhu.edu, 0, 1, 0, 0, 0, 0, , SIGMOD, , , , , M, US, EDU, 51, 13, 11, 17, 12, 2078
"Ahmed, Amal", @ccs.neu.edu, 0, 0, 0, 0, 0, 1, , , , , , PLDI_17_020, F, US, EDU, 55, 23, 16, 28, 24, 1358
"Ahmed, Kishwar", @fiu.edu, 0, 0, 0, 0, 0, 1, , , , , , MASCOTS_17_014, M, US, EDU, 10, 3, 3, 0, 0, 19
"Ahmed, M Meraj", @g.rit.edu, 0, 0, 0, 0, 0, 1, , , , , , IGSC_17_005, M, US, EDU, 5, 1, 1, 0, 0, 2
"Ahmed, Maruf", , 0, 0, 0, 0, 0, 1, , , , , , Cluster_17_058, F, , , , , , , , 
"Ahmed, Pritom", @ucr.edu, 0, 0, 0, 0, 0, 1, , , , , , SIGMOD_17_071, , US, EDU, 3, 2, 2, 0, 0, 6
"Ahmed, Salah", , 0, 0, 0, 0, 0, 1, , , , , , SIGMOD_17_029, , , , , , , , , 
"Ahn, Dong H.", , 0, 0, 0, 0, 0, 2, , , , , , "PPoPP_17_021, IISWC_17_029", M, , , , , , , , 
"Ahn, Ethan C.", @utsa.edu, 0, 0, 0, 0, 0, 1, , , , , , HotStorage_17_010, , US, EDU, 32, 9, 7, 8, 7, 238
"Ahn, Gail-Joon", @asu.edu, 0, 2, 0, 0, 0, 1, , "CLOUD, CCS", , , , NDSS_17_008, M, US, EDU, 306, 43, 34, 110, 82, 7685
"Ahn, Jung Ho", @snu.ac.kr, 0, 4, 0, 0, 0, 4, , "IPDPS, SC, ISCA, MICRO", , , , "ASPLOS_17_052, IISWC_17_012, IISWC_17_022, HPCA_17_039", M, KR, EDU, 90, 27, 23, 35, 32, 5392
"Ahn, Soohan", , 0, 0, 0, 0, 0, 1, , , , , , ICPE_17_020, , , , , , , , , 
"Ahrens, James", @lanl.gov, 0, 0, 0, 0, 0, 1, , , , , , IPDPS_17_096, , US, GOV, 194, 26, 20, 51, 42, 2890
"Ai, Qingyao", @cs.umass.edu, 0, 0, 0, 0, 0, 2, , , , , , "SIGIR_17_032, SIGIR_17_065", , US, EDU, 11, 5, 5, 4, 4, 93
"Ai, Zhiyuan", , 0, 0, 0, 0, 0, 1, , , , , , ATC_17_010, M, , , , , , , , 
"Aida, Kento", , 0, 1, 0, 0, 0, 0, , CLOUD, , , , , M, , , , , , , , 
"Aiello, Luca Maria", @nokia-bell-labs.com, 0, 1, 0, 0, 0, 0, , SIGIR, , , , , M, , COM, 74, 18, 16, 25, 24, 1140
"Aiello, Marco", @ieee.org, 0, 1, 0, 0, 0, 0, , CLOUD, , , , , M, , , 263, 32, 24, 75, 56, 3429
